시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
대구	북구	매천동	아파트	한신더휴웨스턴팰리스	대구 북구 매천동 750	2019-04	919	1270	967	한신공영(주)	128.54248343882568	35.90540191947242
부산	연제구	연산동	아파트	브라운스톤연제1단지	부산 연제구 연산동 2322	2016-12	304	1591	966	이수건설(주)	129.07799374445173	35.17756057170758
부산	기장군	기장읍	아파트	경보이리스힐	부산 기장군 기장읍 교리 368	2017-11	37	0	966	(주)경보종합건설	129.21556787265752	35.25462961586653
부산	강서구	명지동	아파트	더샵명지퍼스트월드2단지	부산 강서구 명지동 3594	2020-07	1666	1804	965	(주)포스코건설	128.9062998183181	35.09828011238046
부산	부산진구	부암동	아파트	서면동일파크스위트2차	부산 부산진구 부암동 739	2017-02	243	1336	963	(주)동일	129.0431494890838	35.165697251856265
부산	사하구	장림동	아파트	사하장림역스마트W	부산 사하구 장림동 1151	2018-10	665	824	963	(주)경성리츠	128.9763728970354	35.08008022888054
부산	사하구	괴정동	아파트	괴정역스마트W2차	부산 사하구 괴정동 263-1	2017-08	182	0	962	(주)경성리츠	128.99607577026734	35.10178457317655
부산	동래구	안락동	아파트	동래보해이브	부산 동래구 안락동 603-12	2017-09	72	0	962	(주)보해토건	129.10422096178866	35.195209442762575
부산	강서구	명지동	아파트	명지더샵퍼스트월드3단지	부산 강서구 명지동 3595-3	2020-07	1530	1748	960	(주)포스코건설	128.90593913318165	35.09573989860147
부산	중구	대창동1가	아파트	선경뉴빌APT	부산 중구 대창동1가 54-43	2016-07	56	0	959	일호개발주식회사	129.03547808113137	35.107412632624296
대구	서구	내당동	아파트	킹스턴파크	대구 서구 내당동 244-10	2017-01	42	0	956	신성토건주식회사	128.55694197671414	35.861729573429386
부산	동래구	온천동	아파트	온천동한진스카이뷰	부산 동래구 온천동 188-2	2019-04	162	0	955	(주)한진건설	129.08051335013036	35.21798808290038
대구	남구	봉덕동	아파트	봉덕한라하우젠트퍼스트	대구 남구 봉덕동 1638	2018-02	186	941	951	(주)한라공영	128.59959252281473	35.84737490174827
대구	달서구	대곡동	아파트	수목원제일풍경채	대구 달서구 대곡동 1123	2018-08	982	1098	951	제일건설(주)	128.53094782623668	35.79817840346637
부산	동구	좌천동	아파트	좌천서린엘마르더뷰	부산 동구 좌천동 1170	2018-08	257	983	949	서린건설(주)	129.04718540431256	35.13581853426583
부산	부산진구	부전동	아파트	서면TK골드뷰	부산 부산진구 부전동 454-2	2017-02	56	0	948	서광종합건설(주)	129.05531739166466	35.15208428754965
부산	연제구	연산동	아파트	성일이안시티	부산 연제구 연산동 867-2	2016-10	113	0	947	(주)중외종합건설	129.07646198881434	35.17748096552504
